u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
353194304,4571013948,residential,0,22.67349380000952,0,0,32.18000031,2.483173147657165,2,2.0,1,1,asphalt
353194304,3823585038,residential,0,83.28224840743366,0,0,29.890000345,2.263389482003628,1,1.0,1,0,asphalt
353194304,3823586288,residential,0,34.90638433717823,0,0,32.18000031,2.483173147657165,2,2.0,1,1,asphalt
353194304,3823585044,residential,0,48.3336554596129,0,0,32.18000031,2.483173147657165,2,2.0,1,1,asphalt
353194305,4576599795,residential,0,42.79347847621347,0,0,27.13999939,1.243667633334899,1,1.0,1,0,asphalt
353194305,3823585034,residential,0,33.39806469994509,0,0,26.819999695,0.6788542085625072,2,2.0,1,1,asphalt
353194305,3823585040,residential,0,48.15634413399077,0,0,27.13999939,1.243667633334899,2,2.5,2,1,asphalt
353194305,3823585044,residential,0,47.3487885788664,0,0,29.65999985,1.863420390496032,2,2.5,2,1,asphalt
353194378,3823588635,residential,0,28.15483466648481,0,0,39.5,2.967510066040807,2,2.0,1,1,asphalt
353194378,11230505704,residential,0,59.84613484093257,0,0,39.5,2.967510066040807,1,1.0,1,0,asphalt
353194378,3823588390,residential,0,82.13047982204785,0,0,37.99500084,2.772586917704488,1,1.0,1,0,asphalt
353194378,2930525553,residential,0,80.27532467884866,0,0,41.670000075,2.7343699023119417,3,3.0,2,1,asphalt
353194380,3823588162,residential,0,29.026409608008755,0,0,37.41999817,1.905800702698011,2,2.0,1,1,asphalt
353194380,3823588184,residential,0,26.1109042299316,0,0,37.41999817,1.905800702698011,2,2.0,1,1,asphalt
353194380,3823587915,residential,0,69.36703869208588,0,0,37.41999817,1.905800702698011,2,2.0,1,1,asphalt
353194380,3823588368,residential,0,61.32414089732156,0,0,37.41999817,1.905800702698011,2,2.0,1,1,asphalt
353194381,3823587687,residential,0,31.38137399519396,0,0,37.61000061,4.554308051984538,2,2.0,1,1,asphalt
353194381,3823587768,residential,0,76.34907015931684,0,0,35.800001145,2.3095908002338463,2,2.0,1,1,asphalt
353194381,3823587840,residential,0,37.65234263003282,0,0,37.61000061,4.554308051984538,2,2.0,1,1,asphalt
353194381,353194408,residential,0,68.77357936583428,0,0,37.61000061,4.554308051984538,2,2.0,1,1,asphalt
353194384,3823587115,residential,0,29.22354653197276,0,0,32.02999878,4.493663711515875,2,2.0,1,1,asphalt
353194384,3823586991,residential,0,46.54563423231889,0,0,32.02999878,4.493663711515875,2,2.0,1,1,asphalt
353194384,3823587096,residential,0,17.618878344794854,0,0,32.02999878,4.493663711515875,2,2.0,1,1,asphalt
353194384,3823587260,residential,0,50.78714131415605,0,0,32.02999878,4.493663711515875,2,2.0,1,1,asphalt
353194399,353194400,residential,0,78.44328619589236,0,0,87.229999545,0.6422939032009518,2,2.0,1,1,asphalt
353194400,3823588780,residential,0,29.943555546030456,0,0,79.74499893000001,1.120942917089125,4,3.0,2,2,asphalt
353194400,3823588774,residential,0,79.98461349187578,0,0,72.344997405,4.57812321203768,2,2.0,1,1,asphalt
353194400,353194399,residential,0,78.44328619589236,0,0,87.229999545,0.6422939032009518,3,2.5,2,2,asphalt
353194404,4627448364,residential,0,28.49426231824015,0,0,44.77999878,2.867204344467036,6,4.0,3,3,asphalt
353194404,3823588629,residential,0,71.567741902271,0,0,51.709999085,2.917946407811968,2,2.0,1,1,asphalt
353194404,3823588216,residential,0,68.08124891750893,0,0,44.77999878,2.867204344467036,2,2.0,1,1,asphalt
353194404,3823588427,residential,0,23.413293665800712,0,0,46.89999962,2.867204344467036,2,2.0,1,1,asphalt
353194407,4580091944,residential,0,1.996871801128209,0,0,43.02999878,5.208114201675076,2,2.0,1,1,asphalt
353194407,353194408,residential,0,112.58471903843656,0,0,40.319999695,4.881211126829808,2,2.0,1,1,asphalt
353194407,3823588098,residential,0,24.47386658064893,0,0,43.02999878,5.208114201675076,2,2.0,1,1,asphalt
353194408,3823587705,secondary,0,32.14842598693334,0,0,37.61000061,4.554308051984538,2,2.0,1,1,asphalt
353194408,3823587699,residential,0,38.63179462957847,0,0,37.61000061,4.554308051984538,2,2.0,1,1,asphalt
353194408,353194407,residential,0,112.58471903843656,0,0,40.319999695,4.881211126829808,2,2.0,1,1,asphalt
353194408,3823587921,secondary,0,66.01617985876379,0,0,40.319999695,4.881211126829808,2,2.0,1,1,asphalt
353194408,353194381,residential,0,68.77357936583428,0,0,37.61000061,4.554308051984538,2,2.0,1,1,asphalt
353194433,3823586899,residential,0,61.52942072151734,0,0,31.05999947,0.8875751497196879,2,2.0,1,1,asphalt
353194433,4569528556,residential,0,31.32629935818133,0,0,36.84500027,3.0688794741076406,2,2.0,1,1,asphalt
353194433,352994529,secondary,0,89.86841538451318,0,0,31.05999947,0.8875751497196879,2,2.0,1,1,asphalt
353194433,3823587060,secondary,0,66.99099914435652,0,0,34.679999355,2.6906194306177817,2,2.0,1,1,asphalt
353194435,4580091945,residential,0,46.19411747434453,0,0,26.70499992,1.0035755609417187,2,2.0,1,1,asphalt
353194435,3823586938,residential,0,63.2265435405992,0,0,27.34000015,1.243931625274234,2,2.0,1,1,asphalt
353194435,3823586899,residential,0,52.56751055232547,0,0,29.19999981,1.065753387496961,2,2.0,1,1,asphalt
353194435,3823586991,residential,0,47.01638045775108,0,0,29.684999465,2.8687976683950547,2,2.0,1,1,asphalt
353194436,3823586953,residential,0,18.48739982884425,0,0,27.34000015,1.243931625274234,2,2.0,1,1,asphalt
353194436,353193937,residential,0,47.15123448763294,0,0,27.34000015,1.243931625274234,2,2.0,1,1,asphalt
353194436,436393814,residential,0,67.42625298439336,0,0,28.109999655000003,1.243931625274234,6,4.0,3,3,asphalt
353194436,4580091946,residential,0,47.30582542876522,0,0,27.34000015,1.243931625274234,2,2.0,1,1,asphalt
353194443,4580091947,residential,0,33.20453591637981,0,0,26.295000075,0.5054030731403977,6,4.0,3,3,asphalt
353194443,4580111223,residential,0,80.07813335245761,0,0,24.94000053,0.4143980542452523,1,1.0,1,0,asphalt
353194443,10678122489,residential,0,72.1133184214182,0,0,24.65000057,0.4143980542452523,1,1.0,1,0,paving_stones
353194452,4580124732,residential,0,104.91447124668798,0,0,21.86499977,0.396786791921793,2,2.0,1,1,asphalt
353194452,353194290,residential,0,43.35338799122612,0,0,22.57499981,0.6958698104514717,2,2.0,1,1,asphalt
353194452,3823585013,residential,0,37.35313272369756,0,0,21.98999977,0.7556944382445909,2,2.0,1,1,asphalt
353194452,4580111219,residential,0,130.4515725078419,0,0,22.644999505,0.8529372623586721,2,2.0,1,1,asphalt
353194455,4580091948,residential,0,41.651579896777456,0,0,23.62999916,0.1976441032292352,2,2.0,1,1,asphalt
353194455,3279011096,residential,0,80.77497229060266,0,0,23.48999977,0.1976441032292352,6,4.0,3,3,asphalt
353194455,3823586589,residential,0,22.12204523919293,0,0,23.62999916,0.1976441032292352,2,2.0,1,1,asphalt
353194455,3823586641,residential,0,39.18637937778448,0,0,23.62999916,0.1976441032292352,2,2.0,1,1,asphalt
353194538,436877345,residential,0,37.13924569565259,0,0,48.79999924,10.85974349689515,6,4.0,3,3,asphalt
353194538,3819769454,residential,0,113.1815546535702,0,0,40.179999355,6.883211437375291,2,2.0,1,1,asphalt
353194538,3819769379,residential,0,69.25983125401993,0,0,40.179999355,6.883211437375291,2,2.0,1,1,asphalt
353194574,353194575,residential,0,28.86449898635129,0,0,24.48499966,0.5618795032414551,2,2.0,1,1,asphalt
353194574,3819769251,residential,0,44.95721410003228,0,0,23.15999985,0.3013327926194883,2,2.0,1,1,asphalt
353194574,3819769192,residential,0,48.57476753594658,0,0,23.289999965,0.3013327926194883,1,1.0,1,0,asphalt
353194574,3819769303,residential,0,65.94427576434647,0,0,23.664999965,0.4466690690478656,2,2.0,1,1,asphalt
353194575,3819769256,residential,0,23.547404787827787,0,0,25.80999947,0.8224262138634219,5,4.0,3,2,asphalt
353194575,353194574,residential,0,28.86449898635129,0,0,24.48499966,0.5618795032414551,4,3.0,2,2,asphalt
353194575,3819769185,residential,0,58.17928124431723,0,0,25.80999947,0.8224262138634219,2,2.0,1,1,asphalt
