u,v,highway,oneway,length,bridge,tunnel
436810546,3823349012,secondary,0,102.34330232053509,0,0
436810546,3822944576,secondary,0,142.6583374243245,0,0
436810546,3823349055,residential,0,60.89343314537368,0,0
436810550,3823349157,residential,0,28.101995525604064,0,0
436810550,414686117,secondary,0,70.26451513119187,0,0
436810550,3822944266,secondary,0,117.68808043669125,0,0
436810570,3820983932,residential,0,56.514054261390605,0,0
436810570,4584691357,secondary,0,45.78457245644746,0,0
436810570,3820983944,secondary,0,77.83385765282594,0,0
436810572,3823349327,residential,0,53.6155076123337,0,0
436810572,4584691357,secondary,0,51.43921468592808,0,0
436810572,4582122502,residential,0,65.2745141063919,0,0
436810572,436810573,secondary,0,100.31988576637258,0,0
436810573,3820983898,residential,0,96.92945243985629,0,0
436810573,436810572,secondary,0,100.31988576637258,0,0
436810573,352994306,secondary,0,53.112032579245096,0,0
436810669,12234347110,secondary,0,5.092427806521455,0,0
436810669,2930525553,secondary,0,67.51187637504731,0,0
436810669,11230505704,primary,1,101.58999705998346,0,0
436810671,3823588907,primary,1,26.283170303317757,0,0
436810671,12234347104,secondary,0,4.907835940546748,0,0
436839039,3811441400,tertiary,0,22.324327757624047,0,0
436839039,3811441388,tertiary,0,54.69527197421005,0,0
436845028,436845029,secondary,0,154.61266578751608,0,0
436845028,3811326843,residential,0,92.2882431938687,0,0
436845028,3811326390,secondary,0,306.34934072860386,0,0
436845028,3811326803,residential,0,85.06821890012259,0,0
436845028,3811326840,residential,0,110.19595682319695,0,0
436845029,4583455499,secondary,0,68.97540072955543,0,0
436845029,436845028,secondary,0,154.61266578751608,0,0
436845029,3811327004,residential,0,20.55098175552542,0,0
436845029,3811326972,residential,0,214.47220624699466,0,0
436845034,3811327156,secondary,0,65.9926315731917,0,0
436845034,3811327171,residential,0,49.987362188241654,0,0
436845034,414686099,secondary,0,93.5957630138879,0,0
436845034,3811678394,residential,0,47.440914943900154,0,0
436849310,3279011082,secondary,0,52.788285853697126,0,0
436849310,3819768892,residential,0,73.93020348534289,0,0
436849310,3824953868,residential,0,35.9804137945047,0,0
436849310,353195249,secondary,0,38.08397527785979,0,0
436849314,445329900,secondary,0,21.269115748241504,0,0
436849314,5281044434,secondary,0,34.70359372527186,0,0
436849314,3824954059,residential,0,44.34986564558234,0,0
436849320,3819769881,residential,0,31.61700821363808,0,0
436849320,3824954278,secondary,0,31.62797575933671,0,0
436849320,307924229,secondary,0,45.90775807655743,0,0
436849329,3823587288,residential,0,99.41443689195718,0,0
436849329,3823587658,secondary,0,66.07054598458758,0,0
436849329,436862401,secondary,0,27.80299361661052,0,0
436849346,3823124844,tertiary,0,66.28329510094444,0,0
436849346,3823124827,primary,0,146.40911856618666,0,0
