u,v,highway,oneway,length,bridge,tunnel
3825027277,3825027291,residential,0,21.377520761487606,0,0
3825027277,3825027257,residential,0,32.44473522219778,0,0
3825027277,3825027404,residential,0,136.4874770551347,0,0
3825027291,3825027321,residential,0,28.9735880071877,0,0
3825027291,3825027277,residential,0,21.377520761487606,0,0
3825027291,3825027361,residential,0,71.01077064968794,0,0
3825027302,3825027307,residential,0,23.48813894023922,0,0
3825027306,3825027246,residential,0,67.3032939780135,0,0
3825027306,3825027375,residential,0,92.06547991211349,0,0
3825027306,3825027320,residential,0,20.72130650703522,0,0
3825027307,3825027256,residential,0,62.935870579708606,0,0
3825027307,3825027302,residential,0,23.48813894023922,0,0
3825027307,3825027408,residential,0,85.25391905588867,0,0
3825027310,3825027257,residential,0,65.30479594257385,0,0
3825027310,4588408406,residential,0,35.16259843834917,0,0
3825027310,3825027360,residential,0,80.11335869885309,0,0
3825027320,3825027306,residential,0,20.72130650703522,0,0
3825027320,3825027364,residential,0,84.54736309509272,0,0
3825027320,3825027375,residential,0,53.22613091764913,0,0
3825027321,4588408406,residential,0,20.10180961499803,0,0
3825027321,3825027291,residential,0,28.9735880071877,0,0
3825027321,3825027361,residential,0,37.5069978077282,0,0
3825027323,3825027333,residential,0,56.35081504948186,0,0
3825027323,4526875479,residential,0,46.52763673384891,0,0
3825027323,3825027405,residential,0,61.271625143413985,0,0
3825027333,4589437546,residential,0,46.252567572087656,0,0
3825027333,3825027323,residential,0,56.35081504948186,0,0
3825027333,3825027420,residential,0,62.97952440721152,0,0
3825027334,2300585359,residential,0,44.24839905314653,0,0
3825027334,2300585354,residential,0,99.9223026045045,0,0
3825027334,4589437546,residential,0,120.54335191254556,0,0
3825027346,3825027477,residential,0,133.70449588816882,0,0
3825027360,3825027387,residential,0,59.27722170539165,0,0
3825027360,3825027398,residential,0,34.73897589741783,0,0
3825027360,3825027310,residential,0,80.1133586988531,0,0
3825027361,3825027321,residential,0,37.5069978077282,0,0
3825027361,3825027378,residential,0,15.352853687679705,0,0
3825027361,3825027291,residential,0,71.01077064968794,0,0
3825027364,3825027320,residential,0,84.5473630950927,0,0
3825027364,1133534462,primary,1,51.80377558886239,0,0
3825027372,3825027378,residential,0,98.09089250337954,0,0
3825027372,3825027450,residential,0,79.28961032302863,0,0
3825027372,4588408406,residential,0,72.8381955097978,0,0
3825027375,4588400002,residential,0,159.38052043156938,0,0
3825027375,3825027306,residential,0,92.06547991211349,0,0
3825027375,3825027320,residential,0,53.22613091764913,0,0
3825027378,3825027361,residential,0,15.352853687679705,0,0
3825027378,3825027404,residential,0,35.82145441571973,0,0
3825027378,3825027436,residential,0,61.68054265561828,0,0
3825027378,3825027372,residential,0,98.09089250337954,0,0
3825027387,3825027398,residential,0,9.060903768318115,0,0
3825027387,4588400351,residential,0,37.98176914722898,0,0
3825027387,3825027360,residential,0,59.27722170539166,0,0
3825027395,3825027364,primary,1,24.98070744819293,0,0
3825027395,3825027400,residential,0,64.48438054133541,0,0
3825027398,3825027387,residential,0,9.060903768318115,0,0
