u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
355798965,355799510,residential,0,59.15995705969594,0,0,7.98999977,0.2638276416622627,2,2.0,1,1,asphalt
355799509,355129299,tertiary,0,64.67679957824313,0,0,8.43000031,0.0832097480661093,2,2.0,2,0,paving_stones
355799509,355799678,residential,0,107.06532231953848,0,0,8.43000031,0.0832097480661093,2,2.0,1,1,asphalt
355799509,2930463922,tertiary,0,122.73835291924271,0,0,8.350000385000001,0.1374665388380266,2,2.0,1,1,asphalt
355799510,355798965,residential,0,59.15995705969594,0,0,7.98999977,0.2638276416622627,2,2.0,1,1,asphalt
355799510,387154947,residential,0,117.51536219063468,0,0,7.98999977,0.2638276416622627,2,2.0,1,1,asphalt
355799510,3407835859,tertiary,0,126.4558467545306,0,0,8.444999695,0.2217106116265403,2,2.0,1,1,asphalt
355799510,355129296,tertiary,0,125.78669664945986,0,0,8.309999939999999,1.1052725660580358,2,2.0,2,0,asphalt
355799678,355799509,residential,0,107.06532231953848,0,0,8.43000031,0.0832097480661093,2,2.0,1,1,asphalt
355799678,355798965,residential,0,76.04611969532294,0,0,8.21000004,0.173518694864186,1,2.2,1,0,asphalt
355799975,355799678,residential,1,122.76067265902648,0,0,8.880000115000001,0.3263376774868909,1,2.2,1,0,asphalt
355799975,2930463922,residential,0,107.185530838991,0,0,8.80000019,0.3805944682588082,2,2.0,1,1,asphalt
355799975,355798964,residential,0,108.06250954052314,0,0,9.11499977,0.3745295942492453,2,2.0,1,1,asphalt
355799976,355432282,residential,0,108.1020939539705,0,0,8.38500023,0.2211595918538681,2,2.0,1,1,asphalt
355799976,355799975,residential,1,119.5630664467582,0,0,8.960000035,0.3953125993807704,1,2.0,1,0,asphalt
355799977,355799976,residential,1,120.13499817295894,0,0,10.60500002,0.7131875102531525,1,2.0,1,0,asphalt
355799977,4634390383,tertiary,0,101.91952217610036,0,0,11.54500008,1.205215428652437,2,2.0,1,1,asphalt
355799977,2374750053,tertiary,0,107.71413590321288,0,0,10.529999735,0.7669287454004944,2,2.0,1,1,asphalt
355800480,355798962,residential,0,86.86919037218902,0,0,9.400000095,0.3593755667713274,6,3.333333333333333,3,3,asphalt
355800480,436880518,residential,0,66.2226952430863,0,0,9.215000155,0.475595244744141,6,4.0,3,3,asphalt
355800480,355800597,residential,0,164.07424083855622,0,0,9.26000023,0.3678866968887132,3,3.0,2,1,asphalt
355800480,355798665,residential,0,118.7599090922598,0,0,9.81500006,0.2863680093398444,5,4.0,3,2,asphalt
355800597,355798263,residential,0,96.12747705555547,0,0,8.680000305,0.2523397733071683,2,2.0,1,1,asphalt
355800597,355800480,residential,0,164.07424083855622,0,0,9.26000023,0.3678866968887132,2,2.0,1,1,asphalt
355800597,355800598,residential,1,100.44139563541204,0,0,9.2050004,0.2623461552079464,1,2.0,1,0,asphalt
355800598,355432431,residential,0,107.3401668384192,0,0,9.110000135,0.1130075114889816,2,2.0,1,1,asphalt
355800598,355798664,residential,0,101.7309149535325,0,0,9.76000023,0.1808274676590776,2,2.0,1,1,asphalt
355800598,355799977,residential,1,123.12862842571651,0,0,11.110000135,0.6930214481557573,1,2.0,1,0,asphalt
356651268,2930463919,residential,0,50.28549608007923,0,0,9.005000115,0.3438648427568152,6,4.0,3,3,asphalt
356651268,3634040397,residential,0,82.7650030107355,0,0,9.75,0.776309039619926,2,2.0,1,1,asphalt
356651268,2374823854,residential,0,61.53913063656273,0,0,12.389999865,1.4218206758019216,2,2.0,1,1,asphalt
